Compte_key_Payeur,client_total_montant,client_moy_montant_cheque,client_max_montant_cheque,client_min_montant_cheque,client_freq_transactions,client_nb_operations_distinctes,client_recence,client_nb_paiements_fractionnes_records,client_score_fragmentation,Segment,pca1,pca2,Cluster_Hc_client,Niveau_Risque_hc_client,Cluster_Kmeans_client,Niveau_Risque_Kmeans_client
1247490,604.68,81.62,105.76,57.48,8,2,84,2,4.0,Particulier,-0.6566956872498177,-0.2799956042442006,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247526,6778.094999999999,289.0414285714286,1000.0,61.645,27,7,69,7,3.857142857142857,Particulier,0.7402430783756009,1.125631995064012,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247611,127.71,42.57,42.57,42.57,3,1,285,1,3.0,Particulier,-0.9691403575272852,-0.6377807524085868,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247657,628.2,52.35,58.2,46.5,12,2,0,2,6.0,Particulier,-0.5460018059490196,-0.10819073292670989,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247658,630.0,70.0,70.0,70.0,9,2,25,2,4.5,Particulier,-0.6298855795481147,-0.23669829661174552,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247665,1275.0,425.0,425.0,425.0,3,1,0,1,3.0,Particulier,-0.8298937326123894,-0.7677982967315591,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247685,400.0,100.0,100.0,100.0,4,1,116,1,4.0,Particulier,-0.9027987041738365,-0.5943494988890109,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247726,2430.0,405.0,540.0,270.0,6,2,35,2,3.0,Particulier,-0.5950027877237828,-0.4667076958919709,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247832,2107.5,185.5,250.0,94.0,12,3,91,3,4.0,Particulier,-0.36252095075025376,-0.0041730826479989235,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247845,2126.0,531.5,531.5,531.5,4,1,581,1,4.0,Particulier,-0.742374691418072,-0.741708758914999,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247879,13158.54,494.7256666666667,1000.0,75.0,29,6,12,6,4.833333333333333,Particulier,0.686241349317244,0.9352075193796282,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247912,1127026.882,22620.1369,83250.0,4573.125,39,9,28,10,4.333333333333333,Inconnu,21.23868945116458,-9.553203707904483,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247918,5100.0,425.0,425.0,425.0,12,2,166,2,6.0,Particulier,-0.3844491070107913,-0.24032467865296991,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247935,13200.0,850.0,2000.0,400.0,18,4,4,4,4.5,Particulier,0.3072522945908302,0.08538284411483608,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1247999,2644.004,139.58350000000002,217.5,74.0,19,4,28,4,4.75,Particulier,-0.0502496829393138,0.4018567759380545,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1248020,13090.0,282.0,650.0,30.0,31,5,7,5,6.2,Particulier,0.5008738784583456,0.8594686730141934,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1248306,34902.0,5817.0,5817.0,5817.0,6,1,22,1,6.0,Particulier,1.4012643040986406,-2.4382823746834656,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1248868,2580.0,100.83333333333333,120.0,80.0,26,6,28,6,4.333333333333333,Particulier,0.4108920180947486,0.9909397359836277,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1249151,4650.0,1550.0,1550.0,1550.0,3,1,484,1,3.0,Particulier,-0.42026987196009263,-1.1502728341981383,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1249170,1320.0,330.0,330.0,330.0,4,1,230,1,4.0,Particulier,-0.8172888016620733,-0.6728955702817739,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1249446,1830.0,115.0,130.0,100.0,15,2,215,2,7.5,Particulier,-0.42557081632066823,-0.008273685421314727,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1249451,5125.0,24.444444444444443,25.0,20.0,207,9,1,9,23.0,Particulier,4.303317973858455,5.877943082848522,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1249772,3900.0,147.14285714285714,400.0,50.0,29,7,11,7,4.142857142857143,Particulier,0.6805185832806775,1.2455844482327652,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1249996,2269.3,89.45,110.0,50.9,27,6,15,6,4.5,Particulier,0.4229041168834629,1.023321471358686,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1249999,450.0,150.0,150.0,150.0,3,1,510,1,3.0,Particulier,-0.9300240096607286,-0.6743045209063953,0,Client Cluster HC 1,0,Client Cluster KMeans 1
1250009,2090.0,65.0,90.0,40.0,38,6,209,6,6.333333333333333,Particulier,0.6380235629275492,1.3140397922783664,0,Client Cluster HC 1,0,Client Cluster KMeans 1
